scenario_id,input_distance,input_speed,input_steering,input_traffic,input_curvature,output_speed,output_steering,position_x,position_y,heading,fuzzy_distance_very_close,fuzzy_distance_close,fuzzy_distance_medium,fuzzy_distance_far,fuzzy_speed_slow,fuzzy_speed_medium,fuzzy_speed_fast,fuzzy_steering_hard_left,fuzzy_steering_left,fuzzy_steering_straight,fuzzy_steering_right,fuzzy_steering_hard_right,fuzzy_traffic_low,fuzzy_traffic_moderate,fuzzy_traffic_high,fuzzy_curvature_straight,fuzzy_curvature_moderate_curve,fuzzy_curvature_sharp_curve
24,82.345,25.002605101476473,22.345,0.089,0.056,71.18744484353834,24.41689623507805,44.69322185592215,-0.2795500656536551,0.008199585257837712,0.0,0.0,0.0,1.0,0.3749348724630882,0.16675350338254907,0.0,0.0,0.0,0.0,0.0,1.0,0.7775000000000001,0.0,0.0,0.8133333333333334,0.0,0.0
25,14.567,71.18744484353834,-19.567,0.845,0.456,9.983314170624258,-23.723768589364813,45.19211238674341,-0.2961224170361219,-0.03320620202872495,0.043299999999999984,0.9567,0.0,0.0,0.0,0.29375183854872183,0.7062481614512781,0.9567,0.043299999999999984,0.0,0.0,0.0,0.0,0.0,0.6124999999999999,0.0,0.8533333333333334,0.0
26,49.012,9.983314170624258,-3.456,0.523,0.345,0.0,-5.981631656457761,45.19211238674341,-0.2961224170361219,-0.04364611873339598,0.0,0.0,0.2994,0.3004,0.7504171457343936,0.0,0.0,0.0,0.182,0.3088,0.0,0.0,0.0,0.9233333333333332,0.0,0.0,0.4833333333333332,0.0
27,68.901,0.0,17.89,0.234,0.123,70.45968312962819,21.326643215321027,48.71502384824968,-0.31875427968186354,-0.006424104482849788,0.0,0.0,0.0,0.9633666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.21099999999999994,0.789,0.415,0.11333333333333334,0.0,0.59,0.0,0.0
28,25.678,70.45968312962819,-11.234,0.756,0.678,24.998998848192535,-13.573873283998557,49.96440703608304,-0.3563908109936872,-0.030114982588276804,0.0,0.2881333333333333,0.5339,0.0,0.0,0.31801056234572705,0.681989437654273,0.1234,0.8766,0.0,0.0,0.0,0.0,0.14666666666666678,0.39000000000000007,0.0,0.4066666666666666,0.19500000000000017
29,73.456,24.998998848192535,6.789,0.145,0.067,71.09744857044615,11.860079500434631,53.519121901872424,-0.38986028968731196,-0.009415238905189947,0.0,0.0,0.0,1.0,0.3750250287951866,0.16663329493975118,0.0,0.0,0.0,0.0,0.598625,0.0,0.6375,0.0,0.0,0.7766666666666666,0.0,0.0
30,38.901,71.09744857044615,23.456,0.489,0.345,0.0,24.41689623507805,53.519121901872424,-0.38986028968731196,0.033200284336801986,0.0,0.0,0.8049499999999998,0.0,0.0,0.29675171431846176,0.7032482856815382,0.0,0.0,0.0,0.0,1.0,0.0,0.9633333333333333,0.0,0.0,0.4833333333333332,0.0
31,6.789,0.0,-26.789,0.923,0.234,7.110720459904944,-24.416896235078056,53.874642166432295,-0.39320769682658924,-0.009415238905189957,0.8211,0.17889999999999998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8075000000000001,0.21999999999999992,0.11333333333333334,0.0
32,55.678,7.110720459904944,9.456,0.378,0.456,0.0,11.675385332841932,53.874642166432295,-0.39320769682658924,0.01096215264452462,0.0,0.0,0.0,0.5226,0.8222319885023763,0.0,0.0,0.0,0.0,0.0,0.9319999999999999,0.0,0.05500000000000005,0.5933333333333334,0.0,0.0,0.8533333333333334,0.0
33,86.789,0.0,-7.89,0.123,0.089,70.8790846771415,-11.758946902948558,57.418434417516806,-0.42709121533989486,-0.009561081357839629,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.73625,0.0,0.0,0.0,0.6925,0.0,0.0,0.7033333333333334,0.0,0.0
34,17.89,70.8790846771415,18.456,0.812,0.567,0.0,22.082623667593403,57.418434417516806,-0.42709121533989486,0.028980367689993448,0.0,0.8073333333333333,0.14450000000000002,0.0,0.0,0.3040305107619498,0.6959694892380502,0.0,0.0,0.0,0.15440000000000004,0.8455999999999999,0.0,0.0,0.5300000000000001,0.0,0.7766666666666668,0.0
35,62.345,0.0,-14.567,0.298,0.234,68.61697557172488,-17.531526039443225,60.84927870571109,-0.4326420433298638,-0.0016179175387471094,0.0,0.0,0.0,0.7448333333333333,0.0,0.0,0.0,0.4567,0.5433,0.0,0.0,0.0,0.25500000000000006,0.3266666666666666,0.0,0.21999999999999992,0.11333333333333334,0.0
36,95.678,68.61697557172488,0.234,0.045,0.023,71.36747242408232,3.771492921888399e-16,64.41764765652684,-0.4384153750776445,-0.0016179175387471087,0.0,0.0,0.0,1.0,0.0,0.3794341476091707,0.6205658523908293,0.0,0.0,0.9532,0.0,0.0,0.8875000000000001,0.0,0.0,0.9233333333333332,0.0,0.0
37,32.567,71.36747242408232,15.678,0.634,0.789,25.002605101476473,8.706422782525639,65.66766268088648,-0.42144205701340737,0.013577656823824754,0.0,0.0,0.87835,0.0,0.0,0.2877509191972559,0.7122490808027441,0.0,0.0,0.0,0.4321999999999999,0.5678000000000001,0.0,0.5533333333333333,0.08500000000000008,0.0,0.036666666666666695,0.47250000000000014
38,79.234,25.002605101476473,-22.345,0.178,0.123,70.45968312962819,-24.416896235078056,69.18916165568628,-0.5237276244361497,-0.02903786641816719,0.0,0.0,0.0,1.0,0.3749348724630882,0.16675350338254907,0.0,1.0,0.0,0.0,0.0,0.0,0.555,0.0,0.0,0.59,0.0,0.0
39,11.234,70.45968312962819,27.89,0.878,0.345,8.46976857230866,24.41689623507805,69.61261104927006,-0.5179778205527222,0.013577656823824745,0.3766,0.6234,0.0,0.0,0.0,0.31801056234572705,0.681989437654273,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6950000000000001,0.0,0.4833333333333332,0.0
40,48.901,8.46976857230866,-4.567,0.456,0.234,68.61697557172488,-10.04236021833396,73.0434330688331,-0.5315281566421161,-0.003949568224297678,0.0,0.0,0.30494999999999983,0.29670000000000013,0.7882557856922835,0.0,0.0,0.0,0.320875,0.08659999999999997,0.0,0.0,0.0,0.8533333333333334,0.0,0.21999999999999992,0.11333333333333334,0.0
41,70.123,68.61697557172488,13.456,0.234,0.156,69.97590211870697,16.340280468945164,76.54117217728287,-0.44557280463812815,0.024569601263943936,0.0,0.0,0.0,1.0,0.0,0.3794341476091707,0.6205658523908293,0.0,0.0,0.0,0.6544000000000001,0.34559999999999996,0.415,0.11333333333333334,0.0,0.48,0.0,0.0
42,21.345,69.97590211870697,-20.123,0.734,0.678,24.998998848192535,-22.036819795723645,77.79100151082294,-0.4629364319266729,-0.01389190494646025,0.0,0.5770000000000001,0.3172499999999999,0.0,0.0,0.33413659604310103,0.665863403956899,1.0,0.0,0.0,0.0,0.0,0.0,0.22000000000000017,0.335,0.0,0.4066666666666666,0.19500000000000017
43,59.567,24.998998848192535,10.789,0.389,0.345,0.0,12.928309023555583,77.79100151082294,-0.4629364319266729,0.008672250971173558,0.0,0.0,0.0,0.6522333333333333,0.3750250287951866,0.16663329493975118,0.0,0.0,0.0,0.0,0.9211,0.07889999999999997,0.027500000000000024,0.63,0.0,0.0,0.4833333333333332,0.0
44,84.567,0.0,-16.789,0.156,0.089,70.8790846771415,-19.951582308570025,81.33374411172818,-0.5555996684591634,-0.026149829255546264,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6789000000000002,0.32109999999999983,0.0,0.0,0.0,0.61,0.0,0.0,0.7033333333333334,0.0,0.0
45,16.234,70.8790846771415,21.678,0.845,0.456,0.0,24.41689623507805,81.33374411172818,-0.5555996684591634,0.01646569398644567,0.0,0.9177333333333332,0.06170000000000009,0.0,0.0,0.3040305107619498,0.6959694892380502,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6124999999999999,0.0,0.8533333333333334,0.0
46,43.89,0.0,-9.456,0.512,0.567,0.0,-11.675385332841932,81.33374411172818,-0.5555996684591634,-0.003911697563268906,0.0,0.0,0.5555,0.12966666666666668,0.0,0.0,0.0,0.0,0.9319999999999999,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.7766666666666668,0.0
47,74.567,0.0,16.789,0.189,0.123,70.45968312962819,19.951582308570035,84.85504538150904,-0.4467202201746018,0.03091038266345093,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32109999999999983,0.6789000000000002,0.5275,0.0,0.0,0.59,0.0,0.0
48,29.012,70.45968312962819,-23.456,0.689,0.789,25.002605101476473,-20.065173208817352,86.10516507818642,-0.4518581799070332,-0.004109951084230925,0.0,0.06586666666666664,0.7006,0.0,0.0,0.31801056234572705,0.681989437654273,1.0,0.0,0.0,0.0,0.0,0.0,0.3700000000000003,0.22249999999999992,0.0,0.036666666666666695,0.47250000000000014
49,66.789,25.002605101476473,11.234,0.267,0.234,68.61697557172488,13.573873283998553,89.5353561622852,-0.38468327316356066,0.019580927021196088,0.0,0.0,0.0,0.8929666666666667,0.3749348724630882,0.16675350338254907,0.0,0.0,0.0,0.0,0.8766,0.1234,0.3325,0.22333333333333336,0.0,0.21999999999999992,0.11333333333333334,0.0
